	coreid	status	nwords_original	nwords_result	nwords_recovered	nwords_omitted	nwords_created	prop_recovered	common_words	original_only	result_only
0	wfo-0001025636	success	208	131	110	98	21	0.529	0-5,0.1,0.1-0.3,0.6-2.8,1,1-2,1-2.2,1-3.5,1-4,1-5,1-5.5,1.1-6.1,1.4-3.5,1.7-5.2,1.7-9.2,1.8,10-45,2-4,2.5-6,2.6-8.3,3-5,6.5-10,9.5-29.5,abaxially,absent,adaxially,anther,base,blade,blue,broadly,brownish,cell,chartaceous,clavate,cm,condition,contracted,corolla,diameter,digestion,distal,drying,elliptic,end,enzyme,filament,flower,fresh,fruit,glabrous,globose,green,greenish,half,herb,highly,honeycomb-shaped,interjected,lanceolate,lateral,leaflet,lobe,long,longer,membranous,minute,mm,moderately,mottled,near,obovate,odd-pinnate,often,orbicular,orne,ovate,ovoid,pedicel,peduncle,perfect,petiole,plant,pubescent,purple,removed,ripe,rotate,rotate-pentagonal,scale-like,seed,sessile,singly,size,slightly,sometimes,stem,stigma,straight,style,subglabrous,terminal,testal,tube,tuber,typically,wall,whitish,wide,x	0-2,1-10,1-3,2,3-6,5-merou,acumen,acuminate,acute,ag,along,alyx,apart,apex,apparently,articulated,axe,berry,capitat,ciliate,clearly,connivent,covering,cuneate,decurrent,dorsally,eaf,edge,eed,especially,exceeding,except,flat,folded,geminat,generally,glabrou,greatly,green-white,hair,hair-like,hal,high,homostylous,larger,lengthening,like,living,lower,make,margin,midrib,minutely,mucilaginous,multicellular,nflorescence,oblique,obtuse,orolla,pair,petiolulate,petiolule,plurifoliate,pore,poricidal,proximal,puberulent,reduced,rosette-forming,rounded,ruit,semierec,seudostipule,short,slit,spaced,specimen,stamen,ste,stolo,subequal,tall,tamen,tem,thick,throughout,tip,tri-,truncate,unequal,unforked,unit,unwinged,uppermost,vary,wet,yellow,ympodial	abaxial,adaxial,arrangement,calyx,capitate,colour,form,growth,height,inflorescence,leaf,length,ovary,position,presence,pseudostipule,shape,staman,stolon,texture,type
1	wfo-0001025637	success	193	115	96	97	19	0.497	0-0.3,0.2-0.5,0.2-0.9,0.3-0.5,0.8-2.6,1-12,1-2,1-2.5,1.2-3.5,1.5-5,1.6-2.5,14-38,2-7,2.5-8,2.8-4.2,3-10,3-5,3-9,5-7,abaxially,adaxially,anther,axillary,blade,blue,brownish,bud,cell,clavate,cm,condition,connivent,coriaceous,corolla,dark,deep,diameter,digestion,dot,drying,elliptic,enzyme,filament,flower,fresh,fruit,glabrescent,glabrous,globose,green,greenish,hair,herb,homostylous,honeycomb-shaped,interjected,lanceolate,lateral,leaf,leaflet,light,lilac,lobe,long,medium,mm,mottled,odd-pinnate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,purple,removed,ripe,rotate,seed,short,size,stigma,straight,stripe,style,subtending,terminal,testal,tiny,tube,tuber,wall,white,whitish,wide,x	0-27,1-5,2-20,2-3,3-4,4-6,5-merou,acumen,acuminate,acute,adaxiall,ag,along,alyx,apart,apex,apparently,arranged,articulated,attenuate,axe,base,bead,berry,capitat,covering,cuneate,decreasing,decurrent,distal,dorsally,eaf,edge,eed,erec,exceeding,flat,folded,forked,geminat,generally,glabrou,green-white,hair-like,hal,half,high,lengthening,like,linear,living,lower,make,moniliform,mucilaginous,multiple,necklace,nflorescence,onto,orolla,ovate,pair,perfect,petiolulate,petiolule,plurifoliate,pore,poricidal,rachi,rounded,ruit,secondary,seudostipule,slit,sometimes,spaced,specimen,stamen,stolon,subequal,symmetric,tall,tamen,tem,thick,throughout,tip,toward,tri-,typically,unit,unwinged,usually,vary,wet,yellow,ympodial	5-merous,arrangement,calyx,capitate,colour,form,growth,height,inflorescence,length,ovary,position,presence,present,pseudostipule,shape,staman,stem,texture
2	wfo-0001025639	success	154	109	84	70	25	0.545	1-2,1-3,1-4,10-21,2-3.5,2.8-3.2,20-35,3-6,3.5-7,4-10,4.5-8.5,5-10,5-8,6-12,6-8,8-9,apical,apically,base,branched,broadly,calyx,cell,cm,connate,corolla,cyme,dark,dehiscent,diameter,dichasial,dichasially,distal,ebracteate,elliptic,elliptical,filament,flower,globose,green,green-white,half,herbaceous,honeycomb,interjected,introrse,lateral,leaf,leaflet,lobe,long,maturing,medium,mm,monochasial,obovate,odd-pinnate,often,ovate,ovoid,pattern,pedicel,peduncle,perfect,petiole,plant,poricidally,present,puberulent,pubescent,rotate,seed,short,size,slit,stigma,straight,style,terminal,testal,violet,white,wide,yellow	2-3,3-4,3-5,3-6-foliat,5-1.,8-12,abaxially,acumen,acuminate,acute,adaxially,apex,articulate,belo,covering,cuneate,digestion,diminishing,dorsally,eaf,edge,eed,emoval,enzyme,exceeding,flat,folded,forked,frequently,generally,globo,gradually,hair-like,lon,long-attenuate,lower,lunat,make,mucilaginous,nflorescence,nther,oblique,orolla,pair,perennial,petiolule,plan,produced,proximal,rare,reveal,ruit,seudostipule,sometimes,stamen,tal,tem,thick,throughou,throughout,top,toward,truncate,tuber-bearing,typically,unit,vary,wall,ympodial,¼	abaxial,adaxial,anther,arrangement,blade,colour,form,fruit,growth,height,inflorescence,length,lunate,na,ovary,position,presence,pseudostipule,shape,staman,stem,texture,tube,tuber,type
3	wfo-0001025642	success	149	97	75	74	22	0.503	0.3-0.4,1,1-2,1-2.5,1-2.7,1-3.2,1.5-2.5,10-20,3-5,3.5-6,4-7.5,4.5-8,5-6,5.5-7,7-11.5,9-12,abaxially,absent,adaxially,apical,apically,branched,calyx,cm,connate,corolla,cyme,dehiscent,diameter,dichasial,dichasially,distal,ebracteate,elliptic,elliptic-lanceolate,flower,globose,green,green-white,half,herbaceous,interjected,introrse,lanceolate,lateral,leaf,leaflet,long,maturing,mm,monochasial,odd-pinnate,often,ovoid,pedicel,peduncle,perennial,perfect,petiole,plant,poricidally,present,puberulent,seed,short,size,slit,stellate,stigma,straight,style,terminal,throughout,wide,yellow	1-3,1-4,2-10,2-3,3,3-6-foliat,8-13,absen,acumen,acuminate,acute,apex,apiculate,articulate,attenuate,base,cell,covering,digestion,diminishing,dorsally,eaf,edge,eed,emoval,enzyme,exceeding,filament,flat,folded,forked,generally,globo,gradually,hair-like,honeycomb,lanceolat,living,lobe,lon,lower,lunate,make,mucilaginous,nflorescence,nther,oblique,obtuse,orolla,pair,pattern,plan,proximal,reveal,ruit,sessile,seudostipule,specimen,stamen,tal,tem,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,without,ympodial,¼	anther,arrangement,blade,colour,form,fruit,growth,height,history,inflorescence,length,life,na,ovary,position,presence,shape,stem,texture,tuber,type,white
4	wfo-0001025644	success	204	120	101	103	19	0.495	0.8-1.5,1-2,1.3-2.1,10,10-11,12-28,2,2-3,2.4-4,2.5-11,2.5-6,25-50,3-10,3-5,3.3-8.2,4-19,4-6,4.5-9.5,6-7,6.5-13,abaxially,absent,adaxially,almost,anther,axillary,blade,blue,broadly,brownish,bud,cell,chartaceous,ciliate,clavate,cm,condition,connivent,corolla,denticulate,diameter,drying,elliptic,filament,finely,flower,fresh,fruit,glabrous,globose,green,greenish,hair,herb,homostylous,honeycomb-shaped,interjected,invested,lanceolate,lateral,leaflet,like,long,margin,membranous,mm,mottled,multicellular,non-glandular,odd-pinnate,ovate,ovoid,pedicel,peduncle,pentagonal,petiole,plant,pubescent,purple,rounded,seed,short,size,stem,stigma,straight,style,subtending,terminal,testal,tinged,trichome,tube,tuber,uniseriate,usually,white,whitish,wing,winged,x	.3,0-5,1-10,13-21,2-4,3-4,5-merou,acumen,acuminate,acute,ag,along,always,alyx,apart,apex,apparently,articulated,attenuate,axe,base,berry,c.,capitat,cordate,covering,cuneate,digestion,distal,dorsally,eaf,edge,eed,end,enzyme,erec,especially,exceeding,except,flat,folded,forked,geminat,generally,glabrou,greatly,green-white,hair-like,half,lengthening,living,lobe,lower,make,middl,midrib,minutely,mucilaginous,nflorescence,oblique,often,one,orbicular,orolla,pair,perfect,petiolule,placed,plurifoliate,pore,poricidal,proximal,puberulent,rarely,reduced,removed,ruit,sessile,seudostipule,shallowly,slit,spaced,specimen,stamen,ste,stolo,subequal,tall,tamen,tem,thick,throughout,tip,tri-,truncate,typically,unit,vary,wall,well-developed,wet,yellow,ympodial	5-merous,arrangement,calyx,capitate,colour,form,growth,height,inflorescence,leaf,length,ovary,position,presence,present,pseudostipule,shape,staman,texture
5	wfo-0001025645	success	150	96	72	78	24	0.48	0.3-0.8,0.8,1-2,1-3.5,10-11,10-16,15-25,2-4.5,2.5,3-5.5,4-12,4-6,4-7,5,5-5.5,abaxially,adaxially,apical,apically,branched,calyx,cm,connate,corolla,cyme,dehiscent,diameter,dichasial,dichasially,distal,ebracteate,elliptic-lanceolate,flower,glabrous,globose,green,green-white,half,herbaceous,interjected,introrse,lanceolate,lateral,leaf,leaflet,long,maturing,mm,monochasial,odd-pinnate,often,ovoid,pedicel,peduncle,perennial,perfect,petiole,plant,poricidally,puberulent,seed,short,size,slit,stellate,stigma,straight,style,terminal,throughout,wide,yellow	0.5-1,1-4,12-17,2-3,3-6-foliat,4-5,8-10,absen,acumen,acuminate,acute,apex,articulate,base,cell,covering,cuneate,decurrent,digestion,diminishing,dorsally,eaf,edge,eed,elliptic,emoval,enzyme,exceeding,filament,flat,folded,forked,generally,globo,gradually,hair-like,honeycomb,larger,living,lobe,lon,lower,lunat,make,mucilaginous,mucronate,nflorescence,nther,oblique,oblong,orolla,pair,pattern,plan,proximal,rachi,reveal,ruit,second,sessile,seudostipule,specimen,stamen,tal,tem,testal,thick,throughou,toward,tuber-bearing,typically,unit,vary,wall,whit,without,ympodial,¼	absent,anther,arrangement,blade,colour,form,fruit,growth,height,history,inflorescence,length,life,na,ovary,position,presence,present,shape,stem,texture,tuber,type,white
6	wfo-0001025646	success	136	94	71	65	23	0.522	0.25-0.4,0.5-2.1,0.6-2.3,0.6-3,0.7-3.5,1.1-1.4,1.1-4.5,1.2-7.0,2-3,2-4,2.3-9.0,3.2-6,3.5-7,4-15.5,4-5,7-8,abaxially,adaxially,apical,apically,calyx,cm,connate,corolla,cyme,dehiscent,diameter,dichasial,distal,elliptic,flower,forked,fruit,generally,globose,half,herbaceous,interjected,introrse,lateral,leaf,leaflet,long,maturing,mm,monochasial,obovate,odd-pinnate,often,ovary,ovate,pedicel,peduncle,pentagonal,perennial,perfect,petiole,plant,poricidally,probably,puberulent,short,size,slit,stigma,straight,strigose,style,terminal,wide,yellow	0-.,1-4,1-7,1.2,1.5-3,2.5-3,3,3-6-foliat,4-10,abruptly,acumen,acuminate,acute,apex,apiculate,articulate,attenuate,ature,base,branched,caudate,cuneate,decurrent,dichasially,diminishing,dorsally,eaf,ebracteate,edge,eed,exceeding,filament,flat,folded,globo,gradually,like,lobe,lon,lower,lunat,nflorescence,nther,oblique,orolla,pair,petiolule,plan,proximal,seen,sessile,seudostipule,slightly,sometimes,stamen,tal,tem,toward,tuber-bearing,typically,unit,vary,whit,ympodial,¼	0-4,anther,arrangement,blade,colour,form,growth,height,history,inflorescence,length,life,na,position,presence,present,seed,shape,stem,texture,tuber,type,white
7	wfo-0001025647	success	194	120	101	93	19	0.521	0.06-0.24,0.4-1.5,0.6-3,0.8-3,1-2,1-5,1.2-3,1.3-2.9,1.4-5,1.5-5,1.5-5.5,2,2-3,2-4,2-5,2.5-3,3-6,4-10,5-6,6.2-11,absent,anther,axillary,base,blade,blue,broadly,brownish,bud,cell,chartaceous,clavate,cm,condition,connivent,corolla,densely,diameter,digestion,distal,drying,elliptic,enzyme,filament,flower,frequently,fresh,fruit,glabrous,globose,green,greenish,hair,half,herb,honeycomb-shaped,interjected,lanceolate,lateral,leaflet,light,like,linear,lobe,long,membranous,mm,moderately,multicellular,narrowly,near,odd-pinnate,often,ovoid,pedicel,peduncle,perfect,petiole,plant,pubescent,removed,ripe,rotate,scale-like,seed,size,sometimes,stem,stigma,straight,style,subtending,terminal,testal,tube,tuber,unbranched,unwinged,wall,whitish,x	0-4,1,1-10,1-3,4-6,5-merou,abaxially,acumen,acute,adaxially,ag,along,alyx,apart,apex,apparently,articulated,attenuate,axe,berry,borne,capitat,ciliate,covering,decurrent,dorsally,eaf,edge,eed,end,erec,especially,exceeding,except,flat,folded,forming,geminat,glabrou,greatly,green-white,hair-like,hal,high,homostylous,lengthening,living,lower,make,margin,midrib,minutely,mucilaginous,nflorescence,oblique,obtuse,orbicular,orolla,ovate,pair,petiolulate,plurifoliate,pore,poricidal,proximal,puberulent,reduced,rosette,ruit,sessile,seudostipule,short,singly,slit,spaced,specimen,stamen,ste,stolo,subequal,tall,tamen,tem,thick,throughout,tip,tri-,typically,unit,vary,wet,yellow,ympodial	arrangement,calyx,capitate,colour,form,growth,height,inflorescence,leaf,length,ovary,position,presence,present,pseudostipule,shape,staman,texture,type
8	wfo-0001025652	success	156	97	73	83	24	0.468	.3,0.5-1,1,1-1.5,1.5-2,10-20,2-3,2-6,20-50,3-3.5,3-5,4,4-6,4-7,anther,anthesi,base,bilobed,blade,calyx,cm,corolla,densely,elliptic,filament,fleshy,flower,fruit,furcate,glabrous,green,growth,lateral,leaf,lobe,lobed,minutely,mm,nearly,occasionally,opposite,ovary,ovoid-reniform,pale,paler,papillose,pedicel,petiole,pinkish-grey,pitted,planar,plant,poricidal,red-papillose,shape,shiny,shrub,simple,size,small,stem,stigma,straight,strongly,style,tan,tip,tree,tube,vein,white,winged,x	.5,15-17,15-19,2-5,3-5-flowered,9-11,abruptly,acuminate,acute,apex,appearing,bark,broad,campanulate,closed,closely,completely,connate,decurrent,dia,differing,difoliate,dry,eaf,edicel,eed,emerge,envelope,free,geminat,glabrate,greyi,greyish,growing,irregular,like,live,lon,long,lower,main,major,margin,matte,middle,minor,minute,narrowing,new,nflorescence,older,one,onto,overlappin,ovoid,pair,papillae,papillo,parallel,pore,portion,rather,ry,scar,shaped,soon,spaced,specimen,surface,tall,tapering,tear,tear-drop,thick,thicker,tightly,ud,unit,wider,widest,wing,ympodial,young	abaxial,adaxial,arrangement,cell,colour,diameter,form,height,inflorescence,interjected,leaflet,length,na,peduncle,position,presence,pseudostipule,seed,staman,terminal,testal,texture,tuber,type
9	wfo-0001025653	success	218	84	51	167	33	0.234	.0,.3,.5,.6,.7,.8,.9,1.3,20,acuminate,anther,blade,brown,calyx,chartaceous,cm,corolla,cylindrical,densely,diameter,extra-axillary,filament,filiform,flower,fruit,glabrous,glandular,globolunate,hair,lateral,leaf,least,lobe,long,minute,mm,pedicel,peduncle,petiole,pubescent,reddish,short,shrub,simple,stellate,stem,stigma,style,truncate,tube,unbranched	.1,.2,0.1,0.13,0.15,0.2–0.4,0.3–0.5,0.3–0.8,0.6–1.6,0.7–1.1,0.8,1.0–1.6,1.1–1.3,1.3–1.8,1.6,1.9–3.3,1–1.5,2.3–3.2,2.5–4.0,2.6,4–6,5-merou,6–8,6–9,7–12,8–11,90°,abaxially,absent,adaxiall,adaxially,adnate,aequilateral,ag,alyx,among,anthesi,apart,apex,apical,apparently,appearing,around,articulate,attenuate,axe,ba,bark,base,broad,bud,channeled,clinate,congested,craspedodromous,deltoid,developed,directed,distinct,dry,eaf,edge,eed,either,emerging,entire,erect,extending,ferruginous,fertile,free,globose,heterostylous,increasing,intact,internode,interpetalar,intersepalar,know,known,lanceolate,layer,less,lobed,lon,longer,low,lower,margin,mature,midpoint,midrib,midvein,much,nflorescence,noticeably,oblique,obtuse,occasionally,opaque,opposed,orolla,ovate,persistent,plurifoliat,pore,porrect,porrect-stellate,portion,potentially,prickl,prickle,primary,raised,ray,reduced,remaining,restricted,rhizomatous,rigid,rounded,row,ruit,scarcely,secondary,see,seen,sessile,short-stipitate,shorter,shot-stipitate,side,sinuate,sloughing,sparsely,splitting,spread,stamen,stellae,stellate-pubescent,stipe,stipitate,straight,subcordate,surface,suture,tamen,tem,time,tip,tissue,transparent,truncat,two,ud,unarme,unarmed,vary,vein,well,wide,yellow-ferruginous,ympodia,young,±equal,±erect,×	0.6-1.6,1.0-1.6,1.3-1.8,2.3-3.2,2.5-4.0,5-merous,abaxial,adaxial,arrangement,cell,colour,form,growth,height,inflorescence,interjected,leaflet,length,na,ovary,plant,position,presence,pseudostipule,seed,shape,size,staman,terminal,testal,texture,tuber,type
10	wfo-0001025654	success	140	77	49	91	28	0.35	0,1,1-2,15-22,2,25-30,4,5-6,5-merous,6,7-8,abaxial,absent,adaxial,anther,blade,calyx,chartaceous,cm,diameter,dull,filament,flower,fruit,glabrous,globose,inflorescence,juvenile,lanceolate,leaf,lobe,mature,mm,mostly,pedicel,pedicellate,peduncle,petiole,position,purple,shrub,simple,size,stellate,stem,stigma,style,sub-axillary,x	2-2.5,2-foliate,3/4,4-5,5,?,abaxially,abortive,abundant,accrescen,acumen,acuminate,alyx,ape,apex,apica,apparently,armed,articulated,axe,ba,base,branched,broadly,cuneate,eaf,eed,elliptic,erect,flattened,frequently,fruiting,geminat,glandular,hair,homostylou,hooked,larger,later,less,long,lower,mainly,margin,midvein,minute,minutely,narrowed,nflorescence,oblique,often,older,orolla,pale,phase,pore,prickle,pubescent,rachi,repand,retrorse,ruit,scarcely,scattered,sessile,several,shallowly,shortly,single,slender,slightly,smaller,solitary,sparsely,straw-coloured,sub-acuminate,surface,tal,tamen,tem,tip,toward,triangular,unarme,unit,unknow,unknown,vary,yellow,ympodial,young	arrangement,cell,colour,corolla,form,growth,height,homostylous,interjected,lateral,leaflet,length,na,ovary,plant,presence,pseudostipule,red,seed,shape,staman,terminal,testal,texture,tube,tuber,type,unarmed
11	wfo-0001025655	success	226	115	90	136	25	0.398	-8-17,0.3-0.4,1-1.2,1-1.5,1-2,1.3-1.5,1.5-2,11,2-2.5,2.5-3,2.5-5-,3-5,4,4-5,5-6-merous,6-7,6-8,abaxial,anther,apex,asymmetric,attenuate,base,beige,blade,calyx,cinereous,clavate,cm,curved,cyme,deeply,diameter,epicarp,ferruginous,ferruginous-pubescent,ferruginous-tomentose,filament,flower,fruit,glabrous,globose,helicoid,hirsute-glandular,leaf,leathery,length,lilac,linear-lanceolate,lobe,long,minutely,mm,monoclinous,mucilaginous,multiangulate-stellate,parted,pedicel,peduncle,persistently,petiole,plant,reddish,rugose,sessile,shrub,slightly,solitary,staminate,stellate,stem,stigma,straight,style,sub-capitate,sub-sessile,subcoriaceous,subreniform,subsagittate,subterete,tomentose,tomentose-velutinous,trichome,tube,unarmed,unbranched,violet,viscid-velutinous,wide,yellowish	-3-5-lobed,0.6-0.8,1-3,1.4-2,2,2-3,2-3.5,2-5-celled,3-,3-7,3-8-flowered,4-6,5-7,8-10,accrescent,acuminate,along,alyx,anthesi,armed,articulate,ba,bark,basal,branch,branched,brow,brown,canaliculate,central,compressed,cordate,cordate-lanceolate,dark,densely,di-,discolorous,distal,dry,eaf,eed,elongate,enlarged,entire,equal,erect,exceeding,free,fruiting,functional,fused,geminat,glabrescent,gland,glandular,glandular-stellate,glandular-tipped,gynoeci,held,indument,lanate,long-exserted,long-stalked,longer,lower,many-celled,maturit,midrib,mix,multiangulate,multiseriate,nflorescence,numerous,oblong-urceolate,older,one,orolla,papillo,part,peduncl,perennia,persistent,petiol,porrect-stellate,prickle,primary,prolonged,prominent,rachi,ranch,ray,recurved,reduced,reflexed,rounded,ruit,secondary,sepal,short,similar,slender,small,somewhat,sparsely,splitting,stalk,stalked,stamen,stellae,stellate-glandular,strongly,sub-globose,sub-quadrangular,surface,surrounded,tall,tamen,terete,time,triangular-lanceolate,trifoliate,uniseriate,unit,upright,vary,vein,velutinous,villous,weakly,within,without,woolly,ympodial,young,¼,½	adaxial,arrangement,colour,corolla,form,growth,height,inflorescence,interjected,lateral,leaflet,na,ovary,papillose,position,presence,pseudostipule,seed,shape,size,staman,terminal,texture,tuber,type
12	wfo-0001025656	success	209	112	85	124	27	0.407	-10,-14,0.2-,0.2-0.4,0.8-1,1-1.5,1-2,1-4,1.5-2,12-15,2.5-5,3-12,3-3.5,3-7,4-4.5,4-5,5-,6-11,8-10,8-9,anther,berry,blue,brown,calyx,cell,channelled,chartaceous,clavate-truncate,cm,coriaceous,corolla,corymbose,curved,cyme,diameter,filament,flattened,flower,globose,green,grey,growth,heterostylous,hirsute,inflorescence,internodal,lanate,lobe,lobed,long-styled,minutely,mm,ochraceous,ovary,pedicel,peduncle,petiole,plant,poricidal,prickle,purple,reniform,reticulate,rugose,rusty,short-styled,shrub,simple,slightly,stellate,stem,stigma,straight,style,subcoriaceous,subreniform,tapering,tomentose,tomentose-lanate,tomentose-velutinous,tube,viscid,x,yellow	0.2-0.3,0.5-0.6,1.8-2,1/3,10-,10-15,2-2.5,3,30-40,4-6,6,abaxially,acuminate,acute,adaxially,adult,almost,along,anthesi,apart,apex,apical,apically,armed,bark,basal,base,branched,congested,cuneate,densely,denser,discolorous,distal,eaf,eed,elliptic,elliptic-ovate,elongate,entire,erect,evenly,exserted,flexuous,foliaceous,free,fruiting,glabrous,gland,glandular,gre,inflorescenc,juvenile,lengthening,like,linear-lanceolate,lobed-angulate,long,long-stalked,longer,loosely,looser,lower,margin,mature,midpoint,midrib,minute,mixed,multangulate,multicellular,near,new,nflorescence,older,ovate,papillat,partially,perfect,pericarp,plurifoliat,pore,porrect,portion,prickly,pubescence,pubescent,raised,reflexed,relatively,rounded,ruit,scandent,scar,sessile,several,short-stalked,single,spaced,sparse,sparsely,stalk,staminate,subglobose,subscandent,subtuncate,surface,tall,testa,time,tip,trichome,turbinate,ud,unit,upper,vein,venation,white,whitish,without,wood,ympodial,young	abaxial,adaxial,arrangement,blade,colour,form,fruit,height,interjected,lateral,leaf,leaflet,length,na,papillate,position,presence,pseudostipule,seed,shape,size,staman,terminal,testal,texture,tuber,type
13	wfo-0001025657	success	239	101	74	165	27	0.31	0.1-0.4,0.2-0.4,1-1.1,1-1.3,1-1.6,1-3,1.2-1.5,1.3-2,1.5-1.8,2-10,2.2-5.5,2.5-9.3,2.7-4.3,3-4,3-6,4-4.4,5-14,5-16,6-12,7-27,7-9.5,8.3-12,anther,berry,blade,bluish,branched,brown,calyx,chartaceous,cm,corolla,cylindrical,dark,deltoid,diameter,dried,filament,fleshy,flower,fruit,granular,green,lateral,leaf,length,lobe,mm,oblong,pedicel,peduncle,perfect,petiole,pseudo-terminal,reticulate-punctate,ripe,shrub,simple,soft,stellate,stem,stigma,style,suborbicular,tan,tomentose,tomentose-pubescent,tree,tube,velutinous-pubescent,white,x,yellow,yellowish	-2,/3,0.5-2.5,1.7-1.9,12x,2-3.5,2/3,25-60,3-4.8,3.2-6,4-4.5,4-7,6-8,6.5-10,7-9,8-10.5,abaxially,accrescent,acute,adaxially,ag,also,anthesi,apart,apex,apparently,appearing,ark,around,articulated,ascending,axe,axillary,ba,base,blunt-tipped,branch,broadly,bud,capitat,central,closely,conical,cordate,dendritic-multangulat,dendritic-multangulate,dense,densely,directed,distally,due,eaf,earl,edge,eed,elliptic,entire,especially,evident,exerted,expanded,exserted,farinose,few-rayed,free,fruiting,glabrous,glandula,glandular,hair,half,inserted,lanate-pubescent,lanceolate,lengthening,light,lobed,long,long-stalked,longitudinal,lower,m.,magnification,main,margin,midrib,minutely,mixed,multangulate,narrowly,nearly,nflorescence,obtuse,occasional,often,older,open,orbicular,orolla,ovat,ovate,ovate-lanceolate,overlapping,pale,part,parted,partly,persistent,persistently,plurifoliate,pore,poricidal,porrect-stellate,present,pubescence,pubescent,rachi,ray,reportedly,ruit,scented,semi-ovate,sessile,short,short-,short-stalked,side,slightly,slit,somewhat,spaced,splitting,stamen,stellate-pubescent,stipitate-glandular,stipitate-multangulate,strongly,subcampanulate,subcoriaceous,surface,suture,tall,tamen,terete,thick-stalked,thickened,thin-stalked,time,tip,tomentum,transparent,two-third,ud,unarme,unarmed,unit,upper,usually,vary,vein,way,weakly,wide,ympodial,young	abaxial,adaxial,arrangement,capitate,cell,colour,form,growth,height,inflorescence,interjected,leaflet,na,ovary,plant,position,presence,pseudostipule,seed,shape,size,staman,terminal,testal,texture,tuber,type
14	wfo-0001025666	success	217	104	78	139	26	0.359	0-0.7,0.3,0.5-1,0.5-1.5,1,1-1.5,1-1.7,1.5-1.8,1.5-2.5,1.5-3.5,2-3,2.8-4.5,21-30,3-3.5,3.5-4,4-5,5-6,5.5-9.5,6-20,6-7.5,anther,base,blade,brown,calyx,chartaceous,cm,cylindrical,densely,diameter,extra-axillary,filament,flattened,flower,fruit,glabrous,gland-tipped,globose,green,hair,inflorescence,lateral,leaf,length,lobe,lobed,mm,narrowly,ovate,pale,pedicel,peduncle,perennial,petiole,pinkish,plant,prostrate,pseudo-racemose,pseudo-umbellate,purple,shallowly,short,shrub,simple,slightly,sparsely,stellate-pubescent,stigma,stoloniferous,style,tapered,tube,white,whitish,x,yellow,yellowish,yellowish-green	%,.8,0-5,0.05-0.25,0.2-0.3,0.2-0.35,0.2-0.8,0.25-0.35,0.25-0.4,0.5-2,1-1.4,1-2,1-locular,1.6-2.3,10-30,14-29,2-4,2-8,20-60,25-65,3-5,3-7,4-6,5-merou,7-8,8-12,9-10,9-20,abaxially,absen,absent,acicular,across,acute,adaxially,alyx,andromonoecious,apart,apex,armed,articulated,attenuate,axe,ba,capitat,center,confined,connivent,cross-section,cuneate,d.,difoliate,directed,distal,distall,eaf,eed,eglandular,elliptica,elliptical,entire,exocarp,finely,finger,fruiting,functional,geminate,half,heterostylous,incomplete,index,interpetalar,juicy,lamina,less,lobing,long,longer,loosely,lower,margin,mature,mesocarp,midpoint,midrib,midvein,minute,moderately,moist,nflorescence,oblique,obtuse,orolla,part,per,placenta,pore,porrect,presen,present,prickle,probably,rachi,ray,reticulate,ridged,ruit,septum,sessile,side,spaced,sparse,stage,stellae,stellate,straight,strongly,surface,tal,tamen,tem,terete,thick,throughout,time,tissu,tissue,transparent,triangular,unarme,unarmed,unbranched,unit,uvenile,vary,vein,weakly,wide,ympodial	5-merous,abaxial,adaxial,arrangement,capitate,colour,corolla,form,growth,height,interjected,leaflet,na,ovary,position,presence,pseudostipule,seed,shape,size,staman,stem,terminal,texture,tuber,type
